client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	whisper_transcript	norm_text	norm_whisper	Insertions	Original Word	Replacement	Deletions	Insertion_POS	Original_Word_POS	Deletion_POS	wer_score	Errors	Reference_Length	jw_score	run
e90099c818d49d88e851146445fb62f8ff45d3a9ec4dc182d513c138efd78b823b252164bca57817d0cfe40fd9a76664778aa42212e9574ff45387f0dff90568	common_voice_de_36849367.mp3	Inspektion der Telegraphen-Truppen.	4	0	thirties	male	Deutschland Deutsch	de	 Insomma, Nathan kann man aber sicher vorstellen, dass K kidnäste nicht so schöneений affordable die Behaktion vonMBAC und ohne These Watchmaker kommen. verschiedene Olibien stehen sicher地 sind schlechter und verkehrt. Also zum screenshots ist der Rest von Clement mpaper herzielen, nun wie wir gerade die estreinen startet,	inspektion der telegraphentruppen	insomma nathan kann man aber sicher vorstellen dass k kidnäste nicht so schöneений affordable die behaktion vonmbac und ohne these watchmaker kommen verschiedene olibien stehen sicher地 sind schlechter und verkehrt also zum screenshots ist der rest von clement mpaper herzielen nun wie wir gerade die estreinen startet	startet, estreinen, die, gerade, wir, wie, nun, herzielen, mpaper, clement, von, ist, screenshots, zum, also, verkehrt, und, schlechter, sind, sicher地, stehen, olibien, verschiedene, kommen, watchmaker, these, ohne, und, vonmbac, behaktion, die, affordable, schöneений, so, nicht, kidnäste, k, dass, vorstellen, sicher, aber, man, kann, nathan	telegraphentruppen, inspektion	rest, insomma		VERB, VERB, DET, ADV, PRON, ADP, ADV, ADJ, PROPN, NOUN, ADP, AUX, PROPN, ADP, ADV, ADV, CCONJ, ADV, AUX, NOUN, VERB, NOUN, ADJ, VERB, PROPN, PROPN, ADP, CCONJ, NOUN, NOUN, DET, ADJ, NOUN, ADV, PART, VERB, PROPN, SCONJ, VERB, ADV, ADV, PRON, AUX, NOUN	VERB, NOUN		15.333333333333334	46.0	3	0.6389158722146544	original_run
b43333d424ddb464c698d8f8bab1db0983db409ca18b1336cb124f03ccfccfcc859c6c067632360a2412229138272b7ec21155ebf8c449a865164690fd4deff9	common_voice_de_37200806.mp3	Kaas wurde in Polen geboren.	2	0	fourties	male	Deutschland Deutsch	de	<|tl|> we'll emph lif oyster. In snapshot. Just need a hand since I have been taught in its last game. But it has to be using the tossed desktop. I'll see if it's like that. Of course. You can go west. It's my first time to get out of here. I going to have to clean up theilians. I have been playing this game. You need to hear what I need to learn.	kaas wurde in polen geboren	tl we ll emph lif oyster in snapshot just need a hand since i have been taught in its last game but it has to be using the tossed desktop i ll see if it s like that of course you can go west it s my first time to get out of here i going to have to clean up theilians i have been playing this game you need to hear what i need to learn	learn, to, need, i, what, hear, to, need, you, game, this, playing, been, have, i, theilians, up, clean, to, have, to, going, i, here, of, out, get, to, time, first, my, s, it, west, go, can, you, course, of, that, like, s, it, if, see, ll, i, desktop, tossed, the, using, be, to, has, it, but, game, last, its, in, taught, been, have, i, since, hand, a, need, oyster, lif, emph, ll	geboren, polen, wurde, kaas	just, snapshot, we, tl		X, X, X, X, PROPN, PROPN, X, X, X, PROPN, PROPN, PROPN, PROPN, PROPN, PROPN, PROPN, PROPN, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, PROPN, X, X, X, X, VERB, X, X, X, X, PROPN, PROPN, PROPN, PROPN, PROPN, PROPN, X, X, X, X, X, X, ADJ, NOUN, PRON, ADP, PROPN, PROPN, NOUN, X, PROPN, PROPN, PROPN, PROPN, NOUN, PROPN, PROPN, X	VERB, PROPN, AUX, ADV		15.2	76.0	5	0.6812670970024542	original_run
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_de_36979516.mp3	"Was macht ""normale religiöse Aktivitäten"" aus?"	6	0	fifties	male	Bundesdeutsch, Hochdeutsch,Deutschland Deutsch,Nordrhein-Westfalen	de	 If we assume you have the questions and the questions that you think that are correct to print performance paper. And as we know, we really use the pressingension calls as we let the integer assume this is the means that the thecript orders the virtual fees that use the behaviors at the time of IP684 in later. So right here, if you want to false read them. But this data and	was macht normale religiöse aktivitäten aus	if we assume you have the questions and the questions that you think that are correct to print performance paper and as we know we really use the pressingension calls as we let the integer assume this is the means that the thecript orders the virtual fees that use the behaviors at the time of ip684 in later so right here if you want to false read them but this data and	and, data, this, but, them, read, false, to, want, you, if, here, right, so, later, in, ip684, of, time, the, at, behaviors, the, use, that, fees, virtual, the, orders, thecript, the, that, means, the, is, this, assume, integer, the, let, we, as, calls, pressingension, the, use, really, we, know, we, as, and, paper, performance, print, to, correct, are, that, think, you, that, questions, the, and, questions	aus, aktivitäten, religiöse, normale, macht, was	the, have, you, assume, we, if		PROPN, PROPN, PROPN, ADP, ADJ, PROPN, X, X, X, X, ADP, ADJ, NOUN, ADV, ADV, ADP, PROPN, PROPN, PROPN, PROPN, PROPN, PROPN, PROPN, PROPN, X, X, X, PROPN, PROPN, NOUN, PROPN, PROPN, PROPN, PROPN, X, PROPN, NOUN, X, X, X, X, X, X, X, X, X, X, PROPN, PROPN, PROPN, X, PROPN, PROPN, NOUN, VERB, X, X, X, X, X, X, X, PROPN, PROPN, PROPN, PROPN	ADP, NOUN, ADJ, ADJ, VERB, PRON		12.0	72.0	6	0.6799018672473404	original_run
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_de_36893955.mp3	Stock des Gebäudes.	6	0	fifties	male	Bundesdeutsch, Hochdeutsch,Deutschland Deutsch,Nordrhein-Westfalen	de	 For that, we have to increase theya IP account latency to both of these server properties. If you have any comment down below, follow us on Patreon for Please. Thank you for watching	stock des gebäudes	for that we have to increase theya ip account latency to both of these server properties if you have any comment down below follow us on patreon for please thank you for watching	watching, for, you, thank, please, for, patreon, on, us, follow, below, down, comment, any, have, you, if, properties, server, these, of, both, to, latency, account, ip, theya, increase, to, have	gebäudes, des, stock	we, that, for		PROPN, PROPN, PROPN, X, PROPN, PROPN, PROPN, PROPN, PROPN, PROPN, X, X, X, X, X, X, X, X, ADJ, PROPN, PROPN, PROPN, X, PROPN, PROPN, X, VERB, X, X, X	NOUN, DET, NOUN		11.0	33.0	3	0.5897251439196051	original_run
2f5f6e8f785f69ee068b771a0e2529289463a8d1e6fd19ac482ec49e90eb4ebf196e4a10ab105534e8b305d3955ee552ac50ff9d95d3bd0e9657fc9e56d81528	common_voice_de_37017387.mp3	Bersaglieri-Regiments bei.	2	0				de	 Pause explicar quem és os simulateores de pesquinhos de Fans e Epicworks. Quando faz parte do нетadeira no vídeo de	bersaglieriregiments bei	pause explicar quem és os simulateores de pesquinhos de fans e epicworks quando faz parte do нетadeira no vídeo de	de, vídeo, no, нетadeira, do, parte, faz, quando, epicworks, e, fans, de, pesquinhos, de, simulateores, os, és, quem	bei, bersaglieriregiments	explicar, pause		PROPN, ADV, NOUN, PROPN, PROPN, NOUN, PROPN, X, VERB, X, X, PROPN, X, X, X, PROPN, X, ADV	ADP, NOUN		10.0	20.0	2	0.646210109281261	original_run
b735bd751f9b84ed35afbfc16087ed904479834e32f063601b0ce02860dd4cc3795e34827198d3db8db31964656b604aeb449e8b7f4bc698e9d464a9ea559801	common_voice_de_36844784.mp3	Sie war Vorstandsmitglied verschiedener nationaler und internationaler Gremien und beriet internationale Organisationen.	2	0				de	 Sie war vorstandsmitglied verschiedene Nationaler und internationaler Gremien und beried internationale Organisationen.	sie war vorstandsmitglied verschiedener nationaler und internationaler gremien und beriet internationale organisationen	sie war vorstandsmitglied verschiedene nationaler und internationaler gremien und beried internationale organisationen		beriet, verschiedener	beried, verschiedene			VERB, ADV		0.1666666666666666	2.0	12	0.9949172394734392	original_run
b43333d424ddb464c698d8f8bab1db0983db409ca18b1336cb124f03ccfccfcc859c6c067632360a2412229138272b7ec21155ebf8c449a865164690fd4deff9	common_voice_de_37267452.mp3	Eigentlich sollten sie in erster Linie für die Betrugsbekämpfung verwendet werden.	2	0	fourties	male	Deutschland Deutsch	de	 Eigentlich sollten Sie ihn erst als Linie für die Betrugs-Bubkempfunk verwendet werden.	eigentlich sollten sie in erster linie für die betrugsbekämpfung verwendet werden	eigentlich sollten sie ihn erst als linie für die betrugsbubkempfunk verwendet werden	als	betrugsbekämpfung, erster, in	betrugsbubkempfunk, erst, ihn		ADP	NOUN, PRON, ADP		0.3636363636363636	4.0	11	0.9708129266315854	original_run
b43333d424ddb464c698d8f8bab1db0983db409ca18b1336cb124f03ccfccfcc859c6c067632360a2412229138272b7ec21155ebf8c449a865164690fd4deff9	common_voice_de_37265339.mp3	Früher oder später wird man jedoch auf die Völker hören müssen.	2	0	fourties	male	Deutschland Deutsch	de	 Früher oder später wird man jedoch auf die Fölkahören müssen.	früher oder später wird man jedoch auf die völker hören müssen	früher oder später wird man jedoch auf die fölkahören müssen		völker	fölkahören	hören		NOUN	VERB	0.1818181818181818	2.0	11	0.9798139681478408	original_run
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_de_36858871.mp3	In den letzten Jahren des Personenverkehrs fuhren Schienenbusse.	6	0	fifties	male	Bundesdeutsch, Hochdeutsch,Deutschland Deutsch,Nordrhein-Westfalen	de	 In den letzten Jahren des Personenverkehrsvoren Schienenbusser.	in den letzten jahren des personenverkehrs fuhren schienenbusse	in den letzten jahren des personenverkehrsvoren schienenbusser		fuhren, personenverkehrs	schienenbusser, personenverkehrsvoren	schienenbusse		VERB, PROPN	NOUN	0.375	3.0	8	0.9774141704786732	original_run
853d72391fef60049ee139a1e170b719bd0d9b8d4d13ebcd50a8a1e05303c73a1129284a7460e29bf4e30a19659e3d6ca4ef9eeaeec9336653e646c5c4fc0e7e	common_voice_de_37112722.mp3	Mehrere deutsche Hochschulen bieten Mediendesign als grundständigen, wie auch als weiterführenden Studiengang an.	2	0	thirties	male	Deutschland Deutsch	de	 Mehrere deutsche Hochschulen bieten Medien Design als Grundständigen, wie auch als weiter für einen Studiengang an.	mehrere deutsche hochschulen bieten mediendesign als grundständigen wie auch als weiterführenden studiengang an	mehrere deutsche hochschulen bieten medien design als grundständigen wie auch als weiter für einen studiengang an	einen, für, design	weiterführenden, mediendesign	weiter, medien		DET, ADP, NOUN	ADJ, NOUN		0.3846153846153846	5.0	13	0.9888589591465096	original_run
e90099c818d49d88e851146445fb62f8ff45d3a9ec4dc182d513c138efd78b823b252164bca57817d0cfe40fd9a76664778aa42212e9574ff45387f0dff90568	common_voice_de_36849367.mp3	Inspektion der Telegraphen-Truppen.	4	0	thirties	male	Deutschland Deutsch	de	 Insyorum Hatti wonewigeKNCLU Summer Experience	inspektion der telegraphentruppen	insyorum hatti wonewigeknclu summer experience	experience, summer	telegraphentruppen, der, inspektion	wonewigeknclu, hatti, insyorum		X, ADJ	VERB, DET, NOUN		1.6666666666666667	5.0	3	0.8729029994837321	model_t
b43333d424ddb464c698d8f8bab1db0983db409ca18b1336cb124f03ccfccfcc859c6c067632360a2412229138272b7ec21155ebf8c449a865164690fd4deff9	common_voice_de_37200806.mp3	Kaas wurde in Polen geboren.	2	0	fourties	male	Deutschland Deutsch	de	 Kass wurden in Polengeboren.	kaas wurde in polen geboren	kass wurden in polengeboren		polen, wurde, kaas	polengeboren, wurden, kass	geboren		PROPN, AUX, ADV	VERB	0.8	4.0	5	0.9498689085407022	model_t
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_de_36979516.mp3	"Was macht ""normale religiöse Aktivitäten"" aus?"	6	0	fifties	male	Bundesdeutsch, Hochdeutsch,Deutschland Deutsch,Nordrhein-Westfalen	de	 nhấtcussions ausocus mare und х	was macht normale religiöse aktivitäten aus	nhấtcussions ausocus mare und х		aktivitäten, religiöse, normale, macht, was	х, und, mare, ausocus, nhấtcussions	aus		NOUN, ADJ, ADJ, VERB, PRON	ADP	1.0	6.0	6	0.6805349261824972	model_t
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_de_36893955.mp3	Stock des Gebäudes.	6	0	fifties	male	Bundesdeutsch, Hochdeutsch,Deutschland Deutsch,Nordrhein-Westfalen	de	 Sog des Gebr anders!	stock des gebäudes	sog des gebr anders	anders	gebäudes, stock	gebr, sog		ADV	ADJ, NOUN		1.0	3.0	3	0.8217523531070765	model_t
2f5f6e8f785f69ee068b771a0e2529289463a8d1e6fd19ac482ec49e90eb4ebf196e4a10ab105534e8b305d3955ee552ac50ff9d95d3bd0e9657fc9e56d81528	common_voice_de_37017387.mp3	Bersaglieri-Regiments bei.	2	0				de	 plausible ν	bersaglieriregiments bei	plausible ν		bei, bersaglieriregiments	ν, plausible			ADP, NOUN		1.0	2.0	2	0.6426761687920034	model_t
b735bd751f9b84ed35afbfc16087ed904479834e32f063601b0ce02860dd4cc3795e34827198d3db8db31964656b604aeb449e8b7f4bc698e9d464a9ea559801	common_voice_de_36844784.mp3	Sie war Vorstandsmitglied verschiedener nationaler und internationaler Gremien und beriet internationale Organisationen.	2	0				de	 Sie war vorstandsmitglied verschiedene Nationaler und internationaler Gremien und beried internationale Organisationen.	sie war vorstandsmitglied verschiedener nationaler und internationaler gremien und beriet internationale organisationen	sie war vorstandsmitglied verschiedene nationaler und internationaler gremien und beried internationale organisationen		beriet, verschiedener	beried, verschiedene			VERB, ADV		0.16666666666666666	2.0	12	0.9949172394734391	model_t
b43333d424ddb464c698d8f8bab1db0983db409ca18b1336cb124f03ccfccfcc859c6c067632360a2412229138272b7ec21155ebf8c449a865164690fd4deff9	common_voice_de_37267452.mp3	Eigentlich sollten sie in erster Linie für die Betrugsbekämpfung verwendet werden.	2	0	fourties	male	Deutschland Deutsch	de	 Eigentlich sollten Sie ihn erst als Linie für die Betrugs-Bubkempfunk verwendet werden.	eigentlich sollten sie in erster linie für die betrugsbekämpfung verwendet werden	eigentlich sollten sie ihn erst als linie für die betrugsbubkempfunk verwendet werden	als	betrugsbekämpfung, erster, in	betrugsbubkempfunk, erst, ihn		ADP	NOUN, PRON, ADP		0.36363636363636365	4.0	11	0.9708129266315854	model_t
b43333d424ddb464c698d8f8bab1db0983db409ca18b1336cb124f03ccfccfcc859c6c067632360a2412229138272b7ec21155ebf8c449a865164690fd4deff9	common_voice_de_37265339.mp3	Früher oder später wird man jedoch auf die Völker hören müssen.	2	0	fourties	male	Deutschland Deutsch	de	 Früher oder später wird man jedoch auf die Fölkahören müssen.	früher oder später wird man jedoch auf die völker hören müssen	früher oder später wird man jedoch auf die fölkahören müssen		völker	fölkahören	hören		NOUN	VERB	0.18181818181818182	2.0	11	0.9798139681478408	model_t
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_de_36858871.mp3	In den letzten Jahren des Personenverkehrs fuhren Schienenbusse.	6	0	fifties	male	Bundesdeutsch, Hochdeutsch,Deutschland Deutsch,Nordrhein-Westfalen	de	 In den letzten Jahren des Personenverkehrsvoren Schienenbusser.	in den letzten jahren des personenverkehrs fuhren schienenbusse	in den letzten jahren des personenverkehrsvoren schienenbusser		fuhren, personenverkehrs	schienenbusser, personenverkehrsvoren	schienenbusse		VERB, PROPN	NOUN	0.375	3.0	8	0.9774141704786731	model_t
853d72391fef60049ee139a1e170b719bd0d9b8d4d13ebcd50a8a1e05303c73a1129284a7460e29bf4e30a19659e3d6ca4ef9eeaeec9336653e646c5c4fc0e7e	common_voice_de_37112722.mp3	Mehrere deutsche Hochschulen bieten Mediendesign als grundständigen, wie auch als weiterführenden Studiengang an.	2	0	thirties	male	Deutschland Deutsch	de	 Mehrere deutsche Hochschulen bieten Medien Design als Grundständigen, wie auch als weiter für einen Studiengang an.	mehrere deutsche hochschulen bieten mediendesign als grundständigen wie auch als weiterführenden studiengang an	mehrere deutsche hochschulen bieten medien design als grundständigen wie auch als weiter für einen studiengang an	einen, für, design	weiterführenden, mediendesign	weiter, medien		DET, ADP, NOUN	ADJ, NOUN		0.38461538461538464	5.0	13	0.9888589591465095	model_t
e90099c818d49d88e851146445fb62f8ff45d3a9ec4dc182d513c138efd78b823b252164bca57817d0cfe40fd9a76664778aa42212e9574ff45387f0dff90568	common_voice_de_36849367.mp3	Inspektion der Telegraphen-Truppen.	4	0	thirties	male	Deutschland Deutsch	de	 Inspektion der Telegrafenproppen.	inspektion der telegraphentruppen	inspektion der telegrafenproppen		telegraphentruppen	telegrafenproppen			VERB		0.3333333333333333	1.0	3	0.9692758641098485	model_b
b43333d424ddb464c698d8f8bab1db0983db409ca18b1336cb124f03ccfccfcc859c6c067632360a2412229138272b7ec21155ebf8c449a865164690fd4deff9	common_voice_de_37200806.mp3	Kaas wurde in Polen geboren.	2	0	fourties	male	Deutschland Deutsch	de	 Kas wurde in Paulin geboren.	kaas wurde in polen geboren	kas wurde in paulin geboren		polen, kaas	paulin, kas			PROPN, ADV		0.4	2.0	5	0.9584938274783853	model_b
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_de_36979516.mp3	"Was macht ""normale religiöse Aktivitäten"" aus?"	6	0	fifties	male	Bundesdeutsch, Hochdeutsch,Deutschland Deutsch,Nordrhein-Westfalen	de	 Was machte normaler religiöser Aktivitäten aus?	was macht normale religiöse aktivitäten aus	was machte normaler religiöser aktivitäten aus		religiöse, normale, macht	religiöser, normaler, machte			ADJ, ADJ, NOUN		0.5	3.0	6	0.9868111730408073	model_b
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_de_36893955.mp3	Stock des Gebäudes.	6	0	fifties	male	Bundesdeutsch, Hochdeutsch,Deutschland Deutsch,Nordrhein-Westfalen	de	 das怎么	stock des gebäudes	das怎么		stock	das怎么	gebäudes, des		NOUN	NOUN, DET	1.0	3.0	3	0.5036623778166595	model_b
